symbol,fiscal_year,dividend_pct
FMDBL,071-072,1.0
FMDBL,072-073,0.79
FMDBL,073-074,2.0
FMDBL,074-075,12.63
FMDBL,075-076,0.89
FMDBL,076-077,4.18
FMDBL,077-078,0.53
FMDBL,078-079,1.0
FMDBL,079-080,7.5
FMDBL,080-081,0.47
FMDBL,081-082,6.5
FOWAD,073-074,15.0
FOWAD,074-075,20.0
FOWAD,076-077,6.58
FOWAD,077-078,7.0
FOWAD,078-079,5.0
FOWAD,080-081,0.7
GBBL,067-068,18.0
GBBL,068-069,15.0
GBBL,069-070,10.0
GBBL,070-071,0.0
GBBL,072-073,0.0
GBBL,075-076,0.0
GBBL,076-077,0.71
GBBL,078-079,1.5
GBBL,079-080,0.5
GBBL,080-081,5.0
GBBL,081-082,4.53
GBIME,066-067,5.0
GBIME,067-068,5.35
GBIME,068-069,10.0
GBIME,073-074,10.0
GBIME,076-077,2.0
GBIME,077-078,3.5
GBIME,078-079,10.6
GBIME,079-080,8.0
GBIME,080-081,0.0
GBIME,081-082,8.0
GBLBS,075-076,1.0
GCIL,081-082,0.53
GFCL,068-069,5.5
GFCL,069-070,7.37
GFCL,070-071,7.72
GFCL,071-072,0.53
GFCL,072-073,1.32
GFCL,073-074,10.0
GFCL,074-075,5.26
GFCL,075-076,10.0
GFCL,076-077,3.6
GFCL,077-078,3.9
GILB,071-072,0.68
GILB,072-073,20.0
GILB,073-074,2.0
GILB,074-075,0.79
GILB,075-076,0.92
GILB,076-077,1.45
GILB,078-079,8.0
GILB,079-080,10.0
GILB,081-082,0.25
GLBSL,075-076,0.0
GLBSL,077-078,0.89
GLBSL,078-079,0.21
GLBSL,080-081,0.75
GLBSL,081-082,0.75
GMFBS,075-076,0.37
GMFBS,076-077,0.79
GMFBS,077-078,1.0
GMFIL,067-068,0.79
GMFIL,068-069,0.79
GMFIL,069-070,2.0
GMFIL,070-071,1.25
GMFIL,071-072,0.79
GMFIL,072-073,0.63
GMFIL,073-074,2.0
GMFIL,074-075,10.0
GMFIL,075-076,6.5
GMFIL,076-077,3.4
GMFIL,077-078,0.53
GMFIL,078-079,0.34
GRDBL,072-073,1.0
GRDBL,076-077,0.2
GRDBL,078-079,0.2
GRDBL,079-080,0.2
GRDBL,080-081,0.3
GRDBL,081-082,0.42
GUFL,073-074,2.0
GVL,080-081,0.53
HATHY,072-073,15.0
HATHY,077-078,30.0
HATHY,078-079,10.0
HATHY,079-080,0.53
HATHY,080-081,0.26
HATHY,081-082,0.63
