symbol,companyName,securityName,sectorName,instrumentType,regulatoryBody,status,snapshot_date
BHDC,Bindhyabasini Hydropower Development Company Limited,Bindhyabasini Hydropower Development Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BHL,Balephi Hydropower Limited,Balephi Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BHPL,Barahi Hydropower Public Limited,Barahi Hydropower Public Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BJFL,Birgunj Finance Ltd.,Birgunj Finance Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
BJHL,Bhujung Hydropower Limited,Bhujung Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BJM,Biratnagar Jute Mills Limited,Biratnagar Jute Mills Limited,Manufacturing And Processing,Equity,Department of Industry,D,2026-08-09
BLDBL,Biratlaxmi Bikas Bank Limited,Biratlaxmi Bikas Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
BNHC,Buddha bhumi nepal hydro power company limited,Buddha Bhumi Nepal Hydropower Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BNL,Bottlers Nepal (Balaju) Limited,Bottlers Nepal (Balaju) Limited,Manufacturing And Processing,Equity,Department of Industry,A,2026-08-09
BNT,Bottlers Nepal (Terai) Limited,Bottlers Nepal (Terai) Limited,Manufacturing And Processing,Equity,Department of Industry,A,2026-08-09
BOAN,Bank of Asia Nepal Limited,Bank of Asia Nepal Limited,Commercial Banks,Equity,Nepal Rastra Bank,D,2026-08-09
BOKD2079,Bank of Kathmandu Ltd.,8% BOK Debenture 2079,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,D,2026-08-09
BOKD86,Bank of Kathmandu Ltd.,8.5% BOK Debenture 2086,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
BOKD86KA,Bank of Kathmandu Ltd.,"BOK Debenture 2086 ""KA""",Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
BOKL,Bank of Kathmandu Ltd.,Bank of Kathmandu Ltd.,Commercial Banks,Equity,Nepal Rastra Bank,D,2026-08-09
BPCL,Butwal Power Company Limited,Butwal Power Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
BPW,BPW Laghubitta Bittiya Sanstha,BPW Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,D,2026-08-09
BRTBL,Bright Development Bank Ltd,Bright Development Bank Ltd,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
BSL,Birat Shoe Limited,Birat Shoe Limited,Manufacturing And Processing,Equity,Department of Industry,S,2026-08-09
BSM,Butwal Spinning Mills Limited,Butwal Spinning Mills Limited,Manufacturing And Processing,Equity,Department of Industry,S,2026-08-09
BUDBL,Business Universal Development Bank Ltd.,Business Universal Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
BUNGAL,Bungal Hydro Limited,Bungal Hydro Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
C30MF,Citizens Bank International Limited,Citizens Super 30 Mutual Fund,Commercial Banks,Mutual Funds,Nepal Rastra Bank,A,2026-08-09
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
CBL,Civil Bank Ltd,Civil Bank Ltd,Commercial Banks,Equity,Nepal Rastra Bank,D,2026-08-09
CBLD88,Civil Bank Ltd,Civil Bank Debenture 2088,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
CCBD88,Century Commercial Bank Ltd.,Century Debenture 2088,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
CCBL,Century Commercial Bank Ltd.,Century Commercial Bank Ltd.,Commercial Banks,Equity,Nepal Rastra Bank,D,2026-08-09
CEDBL,Clean Energy Development Bank Limited,Clean Energy Development Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
CEFL,City Express Finance Co. Limited,City Express Finance Co. Limited,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
CFCL,Central Finance Co. Ltd.,Central Finance Co. Ltd.,Finance,Equity,Nepal Rastra Bank,A,2026-08-09
CFL,Crystal Finance Ltd.,Crystal Finance Ltd.,Finance,Equity,Nepal Rastra Bank,S,2026-08-09
CGH,Chandragiri Hills Limited,Chandragiri Hills Limited,Hotels And Tourism,Equity,Ministry of Tourism,A,2026-08-09
CHCL,Chilime Hydropower Company Limited,Chilime Hydropower Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
CHDC,CEDB Hydropower Development Company Limited,CEDB Holdings Limited,Investment,Equity,Nepal Rastra Bank,A,2026-08-09
CHL,Chhyangdi Hydropower Ltd.,Chhyangdi Hydropower Ltd.,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
CIT,Citizen Investment Trust,Citizen Investment Trust,Investment,Equity,Nepal Rastra Bank,A,2026-08-09
CITY,CITY HOTEL LIMITED ,City Hotel Limited,Hotels And Tourism,Equity,Ministry of Tourism,A,2026-08-09
CIVIC,Civic Development Bank Ltd,Civic Development Bank Ltd,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
CIZBD86,Citizens Bank International Limited,10.25% Citizens Bank Debenture 2086,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
CIZBD90,Citizens Bank International Limited,10% Citizens Bank Debenture 2090,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
CKHL,Chirkhwa Hydropower Limited,Chirkhwa Hydropower Limited ,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
CLI,Citizen Life Insurance Company Limited,Citizen Life Insurance Company Limited,Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
CMB,Capital Merchant Bank & Finance Co. Ltd.,Capital Merchant Bank & Finance Co. Ltd.,Finance,Equity,Nepal Rastra Bank,S,2026-08-09
CMBF,CMB Finance Limited,CMB Finance Limited,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
CMBSL,Civil Merchant Bittiya Santha Ltd.,Civil Merchant Bittiya Santha Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
CMF1,Citizens Bank International Limited,Citizens Mutual Fund -1,Commercial Banks,Mutual Funds,Nepal Rastra Bank,D,2026-08-09
CMF2,CBIL Capital Limited,CITIZENS MUTUAL FUND 2,Mutual Fund,Mutual Funds,Nepal Rastra Bank,D,2026-08-09
CNDBL,Country Development Bank Ltd.,Country Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
CORBL,Corporate Development Bank Limited,Corporate Development Bank Limited,Development Banks,Equity,Nepal Rastra Bank,A,2026-08-09
CREST,Crest Micro Life Insurance Limited,Crest Micro Life Insurance Limited,Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
CSDBL,Cosmos Development Bank Ltd.,Cosmos Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
CSY,Citizens Bank International Limited,Citizens Santulit Yojana,Commercial Banks,Mutual Funds,Nepal Rastra Bank,A,2026-08-09
CTBNL,Commerz and Trust Bank Nepal Ltd.,Commerz and Trust Bank Nepal Ltd.,Commercial Banks,Equity,Nepal Rastra Bank,D,2026-08-09
CYCL,CYC Nepal laghubitta Bittiya Sanstha Limited,CYC Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
CZBIL,Citizens Bank International Limited,Citizens Bank International Limited,Commercial Banks,Equity,Nepal Rastra Bank,A,2026-08-09
DBBL,Deva Bikas Bank Limited,Deva Bikas Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,Deprosc Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
DHEL,Daramkhola hydro Energy Ltd.,Daramkhola Hydro Energy Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
DHPL,Dibyashwori Hydropower Ltd.,Dibyashwori Hydropower Ltd.,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
DLBS,Dhaulagiri laghubitta Sanstha Limited,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
DOLTI,Dolti Power Company Ltd.,Dolti Power Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
DORDI,Dordi Khola Jal Bidyut Company limited,Dordi Khola Jal Bidyut Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
EBL,Everest Bank Limited,Everest Bank Limited,Commercial Banks,Equity,Nepal Rastra Bank,A,2026-08-09
EBLCP,Everest Bank Limited,Everest Bank Limited Con. Pref.,Commercial Banks,Preference Shares,Nepal Rastra Bank,D,2026-08-09
EBLD2078,Everest Bank Limited,8% EBL Debenture 2078,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,D,2026-08-09
EBLD85,Everest Bank Limited,10.50% Everest Bank Limited Debenture 2085,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
EBLD86,Everest Bank Limited,Everest Bank Limited,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
EBLD91,Everest Bank Limited,Everest Bank Limited Debenture 2091,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
EBLEB89,Everest Bank Limited,"Everest Bank Limited Energy Bond, 2089",Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
ECL,Everest Colour Ltd.,Everest Colour Limited,Manufacturing And Processing,Equity,Department of Industry,A,2026-08-09
EDBL,Excel Development Bank Ltd.,Excel Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,A,2026-08-09
EFL,Everest Finance Ltd.,Everest Finance Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
EHPL,Eastern Hydropower Limited,Eastern Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
EIC,Everest Insurance Co. Ltd.,Everest Insurance Co. Ltd.,Non Life Insurance,Equity,Nepal Insurance Board,D,2026-08-09
EKBL,Ekata Bikas Bank Ltd.,Ekata Bikas Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
ENL,Emerging nepal limited,Emerging Nepal Limited,Investment,Equity,Nepal Rastra Bank,A,2026-08-09
ESC,National Pro. And Eco. Dev. Centre,National Pro. And Eco. Dev. Centre,Others,Equity,,D,2026-08-09
FFCL,Fewa Finance Co. Ltd.,Fewa Finance Co. Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
FHL,Fleur Himalayan Limited,Fleur Himalayan Limited,Manufacturing And Processing,Equity,Department of Industry,S,2026-08-09
FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,Forward Microfinance Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
GABL,Gaumukhee Bikas Bank Ltd.,Gaumukhee Bikas Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
GBBD85,Garima Bikas Bank Limited,"Garima Debenture, 2085",Development Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
GBBL,Garima Bikas Bank Limited,Garima Bikas Bank Limited,Development Banks,Equity,Nepal Rastra Bank,A,2026-08-09
GBD80/81,Global IME Bank Limited,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,D,2026-08-09
GBILD84/85,Global IME Bank Limited,"Global IME Bank Debenture, 2084/85",Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
GBILD86/87,Global IME Bank Limited,Global IME Bank Limited Debenture 2086/87,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
GBIME,Global IME Bank Limited,Global IME Bank Limited,Commercial Banks,Equity,Nepal Rastra Bank,A,2026-08-09
GBIMESY2,Global IME Bank Limited,Global IME Sammunat Yojana -2,Commercial Banks,Mutual Funds,Nepal Rastra Bank,A,2026-08-09
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
GCIL,Ghorahi Cement Industry Limited,Ghorahi Cement Industry Limited,Manufacturing And Processing,Equity,Department of Industry,A,2026-08-09
GDBL,Gandaki Bikas Bank Limited,Gandaki Bikas Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
GDBL1,Gandaki Bikas BankLimited,Gandaki Bikas BankLimited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
GDBNL,Gurkha Development Bank Limited,Gurkha Development Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
GFCL,Goodwill Finance Limited,Goodwill Finance Limited,Finance,Equity,Nepal Rastra Bank,A,2026-08-09
GFLK,Gorkha Finance Ltd.,Gorkha Finance Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
GGBSL,ghodighoda laghubitta bittiya sanstha ltd,Ghodighoda Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity,Nepal Rastra Bank,D,2026-08-09
GHL,Ghalemdi Hydro Limited,Ghalemdi Hydro Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
GIBF1,Global IME Balanced Fund-1,Global IME Balanced Fund-1,Mutual Fund,Mutual Funds,Nepal Rastra Bank,A,2026-08-09
GIC,General Insurance Company Nepal Ltd,General Insurance Company Nepal Ltd,Non Life Insurance,Equity,Nepal Insurance Board,D,2026-08-09
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,Global IME Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
GIMES1,Global IME Bank Limited,Global IME Samunnat Scheme-1,Commercial Banks,Mutual Funds,Nepal Rastra Bank,D,2026-08-09
GLBSL,Gurans Laghubitta Bittiya Sanstha Ltd,Gurans Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
GLH,Greenlife Hydropower Limited,GreenLife Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
GLICL,Gurans Life Insurance Company Ltd.,Gurans Life Insurance Company Ltd.,Life Insurance,Equity,Nepal Insurance Board,D,2026-08-09
GMFBS,Ganapati Laghubitta Bittiya Sanstha Ltd,Ganapati Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
GMFIL,Guheswori Merchant Banking & Finance Ltd.,Guheshowori Merchant Bank & Finance Co. Ltd.,Finance,Equity,Nepal Rastra Bank,A,2026-08-09
GMLI,GUARDIAN MICRO LIFE INSURANCE LIMITED,Guardian Micro Life Insurance Limited ,Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
GRAND,Grand Bank Nepal Limited,Grand Bank Nepal Limited,Commercial Banks,Equity,Nepal Rastra Bank,D,2026-08-09
GRDBL,Green Development Bank Ltd.,Green Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,A,2026-08-09
GRU,Gorakhkali Rubber Udhyog Limited,Gorakhkali Rubber Udhyog Limited,Manufacturing And Processing,Equity,Department of Industry,S,2026-08-09
GSDBL,Gaurishankar Development Bank Ltd.,Gaurishankar Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
GSY,Garima Bikas Bank Limited,Garima Samriddhi Yojana,Development Banks,Mutual Funds,Nepal Rastra Bank,A,2026-08-09
GUFL,Gurkhas Finance Ltd.,Gurkhas Finance Ltd.,Finance,Equity,Nepal Rastra Bank,A,2026-08-09
GULMI,Gulmi Bikas Bank Ltd.,Gulmi Bikas Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
GVL,Green Ventures Limited,Green Ventures Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
GWFD83,Goodwill Finance Limited,12 % Goodwill Finance Limited Debenture 2083,Finance,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
H8020,Himalayan Bank Limited,Himalayan 80-20,Commercial Banks,Mutual Funds,Nepal Rastra Bank,A,2026-08-09
HAMA,Hama Merchant & Finance Ltd.,Hama Merchant & Finance Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
HAMRO,Hamro Bikas Bank Ltd.,Hamro Bikas Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
HATH,Hathway Finance Company Limited,Hathway Finance Company Limited,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
HATHY,HATHWAY INVESTMENT NEPAL LIMITED,Hathway Investment Nepal Limited,Investment,Equity,Nepal Rastra Bank,A,2026-08-09
HBL,Himalayan Bank Limited,Himalayan Bank Limited,Commercial Banks,Equity,Nepal Rastra Bank,A,2026-08-09
HBLD83,Himalayan Bank Limited,10% Himalayan Bank Debenture 2083,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
HBLD86,Himalayan Bank Limited,"Himalayan Bank Limited Bond, 2086",Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
HBT,Harisiddhi Brick And Tiles Limited,Harisiddhi Brick And Tiles Limited,Manufacturing And Processing,Equity,Department of Industry,S,2026-08-09
HDHPC,Himal Dolakha Hydropower Com. Ltd.,Himal Dolakha Hydropower Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
HDL,Himalayan Distillery Limited,Himalayan Distillery Limited,Manufacturing And Processing,Equity,Department of Industry,A,2026-08-09
HEI,Himalayan Everest Insurance Limited,Himalayan Everest Insurance Limited,Non Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
HFIN,Hotel Forest Inn Limited,Hotel Forest Inn Limited,Hotels And Tourism,Equity,Ministry of Tourism,A,2026-08-09
HFL,Himalayan Finance Limited (Bittiya Sanstha),Himalayan Finance Limited (Bittiya Sanstha),Finance,Equity,Nepal Rastra Bank,S,2026-08-09
HHL,Himalayan Hydropower Limited,Himalayan Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
HIDCL,Hydorelectricity Investment and Development Company Ltd,Hydorelectricity Investment and Development Company Ltd,Investment,Equity,Nepal Rastra Bank,A,2026-08-09
HIMSTAR,Himstar Urja Company Ltd.,Him Star Urja Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
HLBSL,Himalayan Laghubitta Bittiya Sanstha Limited,Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
HLI,Himalayan Life Insurance Limited,Himalayan Life Insurance Limited,Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
HLICF,Himalayan Life Insurance Limited,HLI Large Cap Fund,Life Insurance,Mutual Funds,Nepal Insurance Board,A,2026-08-09
HPPL,Himalayan Power Partner Ltd.,Himalayan Power Partner Ltd.,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
HRL,Himalayan Reinsurance Limited,Himalayan Reinsurance Limited,Others,Equity,,A,2026-08-09
HTL,Himgiri Textile Industries Limited,Himgiri Textile Industries Limited,Manufacturing And Processing,Equity,Department of Industry,D,2026-08-09
HURJA,Himalaya Urja Bikas Company Limited,Himalaya Urja Bikas Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
ICFC,ICFC Finance Limited,ICFC Finance Limited,Finance,Equity,Nepal Rastra Bank,A,2026-08-09
ICFCD83,ICFC Finance Limited,12% ICFC Finance Limited Debenture 2083,Finance,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
ICFCD88,ICFC Finance Limited,9% ICFC Finance Limited Debenture 2088,Finance,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
ICFCD89,ICFC Finance Limited,8% ICFC Finance Limited Debenture 2089,Finance,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
IDBL,Infrastructure Development Bank Ltd.,Infrastructure Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
IFIL,Imperial Financial Inst. Ltd.,Imperial Financial Inst. Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
IGI,IGI Prudential Insurance Limited,IGI Prudential insurance Limited,Non Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
IHL,Ingwa Hydropower Limited,Ingwa Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
ILBS,Infinity Laghubitta Bittiya Sastha Ltd,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
ILFC,International Leasing & Finance Co. Ltd.,International Leasing & Finance Co. Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
ILI,I.M.E. Life Insurance company Limited ,IME Life Insurance Company Limited,Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
IMEFI,IME Financial Institution,IME Financial Institution,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
INDB,Innovative Development Bank Ltd.,Innovative Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
INDBL,International Development Bank Ltd,International Development Bank Ltd,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
JALPA,Jalpa Samudayik Laghubitta Sanstha Limited,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,D,2026-08-09
JBBD87,Jyoti Bikas Bank Limited,Jyoti Bikash Bank Bond 2087,Development Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
JBBL,Jyoti Bikas Bank Limited,Jyoti Bikas Bank Limited,Development Banks,Equity,Nepal Rastra Bank,A,2026-08-09
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Ltd,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
JBNL,Janata Bank Nepal Ltd.,Janata Bank Nepal Ltd.,Commercial Banks,Equity,Nepal Rastra Bank,D,2026-08-09
JEFL,Jebils Finance Ltd.,Jebils Finance Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
JFL,Janaki Finance Company Limited,Janaki Finance Company Limited,Finance,Equity,Nepal Rastra Bank,A,2026-08-09
JHAPA,Jhapa Energy Limited,Jhapa Energy Limited,Others,Equity,,A,2026-08-09
JHBL,Jhimruk Bikas Bank Ltd.,Jhimruk Bikas Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
JLI,Jyoti Life Insurance Company Limited,Jyoti Life Insurance Company Limited,Life Insurance,Equity,Nepal Insurance Board,D,2026-08-09
JOSHI,Joshi Hydropower Development Company Ltd,Joshi Hydropower Development Company Ltd,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
JSM,Jyoti Sinning Mills Limited,Jyoti Sinning Mills Limited,Manufacturing And Processing,Equity,Department of Industry,S,2026-08-09
KADBL,Kanchan Development Bank Limited,Kanchan Development Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
KAFIL,Kaski Finance Limited,Kaski Finance Limited,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
KAHL,Kalanga Hydro Limited,Kalanga Hydro Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
KBBL,Kailash Bikas Bank Ltd.,Kailash Bikas Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
KBL,Kumari Bank Limited,Kumari Bank Limited,Commercial Banks,Equity,Nepal Rastra Bank,A,2026-08-09
KBLD86,Kumari Bank Limited,10.25% KBL Debenture 2086,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
KBLD89,Kumari Bank Limited,11% KBL Debenture 2089,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
KBLD90,Kumari Bank Limited,10% KBL Debenture 2090,Commercial Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
KBSH,Kutheli Bukhari Small Hydropower Ltd,Kutheli Bukhari Small Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
KCDBL,Kalinchowk Development Bank Ltd.,Kalinchowk Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
KDBL,Kasthamandap Development Bank Limited,Kasthamandap Development Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
KDBY,Kumari Bank Limited,Kumari Dhanabriddhi Yojana,Commercial Banks,Mutual Funds,Nepal Rastra Bank,A,2026-08-09
KDL,KALINCHOWK DARSHAN LIMITED ,Kalinchowk Darshan Limited,Hotels And Tourism,Equity,Ministry of Tourism,A,2026-08-09
KEBL,Kabeli Bikas Bank Limited,Kabeli Bikas Bank Limited,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
KEF,Kumari Bank Limited,Kumari Equity Fund,Commercial Banks,Mutual Funds,Nepal Rastra Bank,A,2026-08-09
KHDBL,Khandbari Development Bank Ltd,Khandbari Development Bank Ltd,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
KHPL,Kalinchock Hydropower Limited,Kalinchock Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
KKBL,Kakre Bihar Bikash Bank Ltd,Kakre Bihar Bikash Bank Ltd,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
KKHC,Khanikhola Hydropower Co. Ltd.,Khanikhola Hydropower Co. Ltd.,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
KLBS,Khaptad Laghubitta Bittiya Sanstha Ltd,Khaptad Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,D,2026-08-09
KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,Kalika Laghubitta Bittiya Sanstha Ltd,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
KNBL,Kankai Bikas Bank Ltd.,Kankai Bikas Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
KPCL,Kalika power Company Ltd,Kalika power Company Ltd,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
KRBL,Karnali Development Bank Limited,Karnali Development Bank Limited,Development Banks,Equity,Nepal Rastra Bank,S,2026-08-09
KSBBL,Kamana Sewa Bikas Bank Limited,Kamana Sewa Bikas Bank Limited,Development Banks,Equity,Nepal Rastra Bank,A,2026-08-09
KSBBLD87,Kamana Sewa Bikas Bank Limited,9% Kamana Sewa Bikas Bank Limited Debenture 2087,Development Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
KSBBLPNP,Kamana Sewa Bikas Bank Limited,KSBBL 9% Perpetual Non Cumulative Preference Share,Development Banks,Preference Shares,Nepal Rastra Bank,A,2026-08-09
KSY,Kumari Bank Limited,Kumari Sabal Yojana,Commercial Banks,Mutual Funds,Nepal Rastra Bank,A,2026-08-09
LBBL,Lumbini Bikas Bank Ltd.,Lumbini Bikas Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,A,2026-08-09
