symbol,companyName,securityName,sectorName,instrumentType,regulatoryBody,status,snapshot_date
SGHL,Sanigad Hydro Limited,Sanigad Hydro Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SGIC,Sanima GIC Insurance Limited,Sanima GIC Insurance Limited,Non Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
SHBL,Sahara Bikas Bank Ltd.,Sahara Bikas Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
SHEL,Singati Hydro Energy Ltd,Singati Hydro Energy Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SHINE,SHINE RESUNGA DEVELOPMENT BANK LTD,Shine Resunga Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,A,2026-08-09
SHINED,SHINE RESUNGA DEVELOPMENT BANK LTD,Shine Resunga Debenture,Development Banks,Non-Convertible Debentures,Nepal Rastra Bank,A,2026-08-09
SHIVM,Shivam Cements Limited,SHIVAM CEMENTS LTD,Manufacturing And Processing,Equity,Department of Industry,A,2026-08-09
SHL,Soaltee Hotel Limited,Soaltee Hotel Limited,Hotels And Tourism,Equity,Ministry of Tourism,A,2026-08-09
SHLB,Shrijanshil Laghubitta Baittiya sanstha Limited,Shrijanshil Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
SHPC,Sanima Mai Hydropower Limited,Sanima Mai Hydropower Ltd.,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SICL,Shikhar Insurance Co. Ltd.,Shikhar Insurance Co. Ltd.,Non Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
SIFC,Shree Investment Finance Co. Ltd.,Shree Investment Finance Co. Ltd.,Finance,Equity,Nepal Rastra Bank,A,2026-08-09
SIGS1,Siddhartha Bank Limited,Siddhartha Investment Growth Scheme-1,Commercial Banks,Mutual Funds,Nepal Rastra Bank,D,2026-08-09
SIGS2,Siddhartha Bank Limited,Siddhartha Investment Growth Scheme - 2,Commercial Banks,Mutual Funds,Nepal Rastra Bank,A,2026-08-09
SIGS3,Siddhartha Bank Limited,Siddhartha Investment Growth Scheme 3,Commercial Banks,Mutual Funds,Nepal Rastra Bank,A,2026-08-09
SIKLES,Sikles Hydropower Limited,Sikles Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SIL,Siddhartha Insurance Ltd.,Siddhartha Insurance Ltd.,Non Life Insurance,Equity,Nepal Insurance Board,D,2026-08-09
SINDU,Sindhu Bikash Bank Ltd,Sindhu Bikash Bank Ltd,Development Banks,Equity,Nepal Rastra Bank,A,2026-08-09
SIPD,Shikhar Power Development Ltd.,Shikhar power Development Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SJCL,SANJEN JALAVIDHYUT COMPANY LTD,SANJEN JALAVIDHYUT COMPANY LIMITED,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SJLIC,SuryaJyoti Life Insurance Company Limited,SuryaJyoti Life Insurance Company Limited,Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
SKDBL,Saptakoshi Development Bank Ltd.,Saptakoshi Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
SKHEL,Suryakunda Hydro Electric Limited,Suryakunda Hydro Electric Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SKHL,Super Khudi Hydropower Ltd.,Super Khudi Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Ltd.,Swarojgar Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
SLBS,Suryodaya Laghubitta Bittiya Sanstha Ltd.,Suryodaya Laghubitta Bittiya Sanstha Ltd.,Microfinance,Equity,Nepal Rastra Bank,D,2026-08-09
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,Samudayik Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
SLCF,Sanima Bank Limited,Sanima Large Cap Fund,Commercial Banks,Mutual Funds,Nepal Rastra Bank,A,2026-08-09
SLFL,Subha Laxmi Finance Co. Ltd.,Subha Laxmi Finance Co. Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
SMB,Support Lagubitta Bittiya Sanstha Limited,Support Microfinance Bittiya Sanstha Ltd.,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
SMF,Swastik Merchant Finance Co. Ltd.,Swastik Merchant Finance Co. Ltd.,Finance,Equity,Nepal Rastra Bank,D,2026-08-09
SMFBS,Swabhumaan Laghubitta Bittiya Sanstha Ltd,Swabhimaan Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
SMFDB,Summit Micro Finance Development Bank Ltd.,Summit Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,D,2026-08-09
SMH,Supermai Hydropower Limited,Super Mai Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SMHL,Super Madi Hydropower Limited,Super Madi Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SMJC,Sagarmatha Jalabidhyut Company Limited,Sagarmatha Jalabidhyut Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Sampada Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,A,2026-08-09
SNLI,Sun Nepal Life Insurance Company Limited,Sun Nepal Life Insurance Company Limited,Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
SNORL,Snow Rivers Limited,Snow Rivers Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SODBL,Society Development Bank Ltd.,Society Development Bank Ltd.,Development Banks,Equity,Nepal Rastra Bank,D,2026-08-09
SOHL,Solu Hydropower Limited,Solu Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SONA,Sonapur Minerals And Oil Limited,Sonapur Minerals And Oil Limited,Manufacturing And Processing,Equity,Department of Industry,A,2026-08-09
SOPL,Sopan Pharmaceuticals Limited,Sopan Pharmaceuticals Limited,Manufacturing And Processing,Equity,Department of Industry,A,2026-08-09
SPARS,Sparsha Laghubitta Bittiya Sanstha Limited,Sparsha Laghubitta Bittiya Sanstha Limited,Microfinance,Equity,Nepal Rastra Bank,D,2026-08-09
SPC,Samling power company limited,Samling Power Company Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SPDL,Synergy Power Development Ltd.,Synergy Power Development Ltd.,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SPHL,Sayapatri Hydropower Limited,Sayapatri Hydropower Limited,Hydro Power,Equity,Nepal Hydropower Board,A,2026-08-09
SPIL,Siddhartha Premier Insurance Limited,Siddhartha Premier Insurance Limited,Non Life Insurance,Equity,Nepal Insurance Board,A,2026-08-09
