run_utc,dataset,rows_added,rows_total,conflicts
2026-08-10T10:24:21+00:00,today_price,352,76547,0
2026-08-10T10:28:13+00:00,indices,0,3932,0
2026-08-10T10:28:13+00:00,market_summary,0,230,0
2026-08-10T10:28:13+00:00,securities,0,4407,0
2026-08-10T10:28:13+00:00,today_price,0,76547,0
2026-08-10T10:48:09+00:00,indices,0,3932,0
2026-08-10T10:48:09+00:00,market_summary,0,230,0
2026-08-10T10:48:09+00:00,securities,0,4407,0
2026-08-10T10:48:09+00:00,today_price,0,76547,0
2026-08-10T14:36:07+00:00,indices,0,3932,0
2026-08-10T14:36:07+00:00,market_summary,0,230,0
2026-08-10T14:36:07+00:00,securities,1,4408,0
2026-08-10T14:36:07+00:00,today_price,0,76547,0
2026-08-11T10:34:56+00:00,indices,17,3949,0
2026-08-11T10:34:56+00:00,market_summary,1,231,0
2026-08-11T10:34:56+00:00,securities,443,4851,0
2026-08-11T10:34:56+00:00,today_price,340,76887,0
2026-08-11T14:35:23+00:00,indices,0,3949,0
2026-08-11T14:35:23+00:00,market_summary,0,231,0
2026-08-11T14:35:23+00:00,securities,1,4852,1
2026-08-11T14:35:23+00:00,today_price,0,76887,0
2026-08-12T10:43:53+00:00,indices,17,3966,0
2026-08-12T10:43:53+00:00,market_summary,1,232,0
2026-08-12T10:43:53+00:00,securities,444,5296,0
2026-08-12T10:43:53+00:00,today_price,348,77235,0
2026-08-12T14:35:47+00:00,indices,0,3966,0
2026-08-12T14:35:47+00:00,market_summary,0,232,0
2026-08-12T14:35:47+00:00,securities,0,5296,1
2026-08-12T14:35:47+00:00,today_price,0,77235,0
2026-08-13T10:45:10+00:00,indices,17,3983,0
2026-08-13T10:45:10+00:00,market_summary,1,233,0
2026-08-13T10:45:10+00:00,securities,444,5740,0
2026-08-13T10:45:10+00:00,today_price,347,77582,0
2026-08-13T14:36:51+00:00,indices,0,3983,0
2026-08-13T14:36:51+00:00,market_summary,0,233,0
2026-08-13T14:36:51+00:00,securities,0,5740,0
2026-08-13T14:36:51+00:00,today_price,0,77582,0
2026-08-14T10:40:20+00:00,indices,17,4000,0
2026-08-14T10:40:20+00:00,market_summary,1,234,0
2026-08-14T10:40:20+00:00,securities,444,6184,0
2026-08-14T10:40:20+00:00,today_price,344,77926,0
2026-08-14T14:30:28+00:00,indices,0,4000,0
2026-08-14T14:30:28+00:00,market_summary,0,234,0
2026-08-14T14:30:28+00:00,securities,0,6184,0
2026-08-14T14:30:28+00:00,today_price,0,77926,0
2026-08-17T10:16:08+00:00,indices,17,4017,0
2026-08-17T10:16:08+00:00,market_summary,1,235,0
2026-08-17T10:16:08+00:00,securities,444,6628,0
2026-08-17T10:16:08+00:00,today_price,350,78276,0
2026-08-17T14:00:31+00:00,indices,0,4017,0
2026-08-17T14:00:31+00:00,market_summary,0,235,0
2026-08-17T14:00:31+00:00,securities,0,6628,0
2026-08-17T14:00:31+00:00,today_price,0,78276,0
2026-08-18T10:04:16+00:00,indices,17,4034,0
2026-08-18T10:04:16+00:00,market_summary,1,236,0
2026-08-18T10:04:16+00:00,securities,444,7072,0
2026-08-18T10:04:16+00:00,today_price,347,78623,0
2026-08-18T14:04:43+00:00,indices,0,4034,0
2026-08-18T14:04:43+00:00,market_summary,0,236,0
2026-08-18T14:04:43+00:00,securities,0,7072,0
2026-08-18T14:04:43+00:00,today_price,0,78623,0
2026-08-19T10:04:42+00:00,indices,17,4051,0
2026-08-19T10:04:42+00:00,market_summary,1,237,0
2026-08-19T10:04:42+00:00,securities,444,7516,0
2026-08-19T10:04:42+00:00,today_price,346,78969,0
