id,businessDate,openPrice,highPrice,lowPrice,closePrice,totalTradedQuantity,totalTradedValue,previousDayClosePrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,lastUpdatedTime,totalTrades,lastTradedPrice,averageTradedPrice,symbol,securityId
1799275,2025-08-04,524.4,532.0,519.0,527.97,103313,54318530.1,524.4,700.0,474.1,2025-08-04 14:53:12.418499000,811,528.0,525.77,NABIL,131
1799281,2025-08-04,388.7,399.0,385.0,395.76,275662,108183779.4,381.91,564.0,333.0,2025-08-04 14:59:56.600552000,1217,396.0,392.45,NICA,139
1799340,2025-08-04,1401.0,1420.0,1354.0,1387.99,271656,375851164.4,1397.72,1696.0,1136.0,2025-08-04 14:59:59.326038000,2263,1388.0,1383.56,HDL,235
1799360,2025-08-04,907.9,907.9,880.0,890.26,27496,24371199.2,892.57,1214.0,835.0,2025-08-04 14:59:52.427569000,365,890.0,886.35,NTC,307
1799566,2025-08-04,1530.0,1555.0,1490.0,1533.22,208060,316275424.3,1530.85,1691.0,722.0,2025-08-04 14:59:59.891210000,1727,1530.1,1520.12,NRIC,2881
1799789,2025-08-05,517.5,540.0,517.5,527.73,91553,48640299.2,527.97,682.0,474.1,2025-08-05 14:59:55.070220000,671,527.9,531.28,NABIL,131
1799795,2025-08-05,403.5,403.5,385.9,386.38,168482,66054248.8,395.76,564.0,333.0,2025-08-05 14:59:59.476916000,676,386.2,392.06,NICA,139
1799854,2025-08-05,1400.0,1400.0,1345.0,1348.37,138867,189271388.0,1387.99,1696.0,1136.0,2025-08-05 14:59:54.665272000,1601,1345.0,1362.97,HDL,235
1799874,2025-08-05,895.0,904.0,879.0,879.54,31485,27777081.6,890.26,1214.0,835.0,2025-08-05 14:59:50.135666000,369,880.0,882.23,NTC,307
1800080,2025-08-05,1550.0,1550.0,1482.0,1483.42,139609,209036887.5,1533.22,1691.0,722.0,2025-08-05 14:59:55.839197000,968,1484.0,1497.3,NRIC,2881
